"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","840","환불 계좌 관리 확인","","2026-07-02","passed","2026-07-02","","","",""
"","941","기프티쇼 선물함 확인","","2026-07-02","passed","2026-07-02","","","",""
"","13324","상품 > 상품평 탭 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","944","방송 알림 설정 확인","","2026-07-02","passed","2026-07-02","","","",""
"","812","공지 사항 확인","","2026-07-02","passed","2026-07-02","","","",""
"","57530","GNB 메뉴별 화면 확인","","2026-07-02","passed","2026-07-02","","","",""
"","17006","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","20931","상품 > 장바구니 상품 추가 확인","","2026-07-02","passed","2026-07-02","","","",""
"","869","이용권등록 확인","","2026-07-02","passed","2026-07-02","","","",""
"","12267","ON AIR > VOD 영상 재생 확인","","2026-07-02","passed","2026-07-02","","","",""
"","16094","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","818","장바구니 확인","","2026-07-02","passed","2026-07-02","","","",""
"","13370","상품 > 상품문의 탭 노출 확인","","2026-07-02","passed","2026-07-02","","","",""
"","19776","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-02","passed","2026-07-02","","","",""
"","14860","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","19505","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","993","잔액형 상품권 내역 확인","","2026-07-02","passed","2026-07-02","","","",""
"","5337","주문 내역 확인","","2026-07-02","passed","2026-07-02","","","",""
"","16757","상품 > 좋아요 추가 및 삭제 확인","","2026-07-02","passed","2026-07-02","","","",""
"","13586","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","15285","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-02","passed","2026-07-02","","","",""
"","867","자주하는 질문 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1396","상품평 확인","","2026-07-02","passed","2026-07-02","","","",""
"","10950","카테고리 정상 노출 및 필터 기능 확인","","2026-07-02","passed","2026-07-02","","","",""
"","15104","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1452","취소/교환/반품 내역 확인","","2026-07-02","passed","2026-07-02","","","",""
"","1365","배송지 관리 확인","","2026-07-02","passed","2026-07-02","","","",""
"","15429","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-02","passed","2026-07-02","","","",""
"","15884","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-02","passed","2026-07-02","","","",""
