"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1658","이용권등록 확인","","2026-09-10","passed","2026-09-10","","","",""
"","1735","문의 내역 확인","","2026-09-10","passed","2026-09-10","","","",""
"","12090","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-09-10","passed","2026-09-10","","","",""
"","16325","상품 > 선물하기 주문서 페이지 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","1699","선물 메시지 관리 확인","","2026-09-10","passed","2026-09-10","","","",""
"","10175","상품 > 상품문의 탭 노출 확인","","2026-09-10","passed","2026-09-10","","","",""
"","43038","일반 계정 로그인 확인","","2026-09-10","passed","2026-09-10","","","",""
"","10696","상품 > 상세정보 탭 노출 확인","","2026-09-10","passed","2026-09-10","","","",""
"","12737","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","1679","잔액형 상품권 내역 확인","","2026-09-10","passed","2026-09-10","","","",""
"","7395","혜택/이벤트 > 수신동의 쿠폰팩 페이지 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","21265","GNB 메뉴별 화면 확인","","2026-09-10","passed","2026-09-10","","","",""
"","9729","상품 > 구매정보 탭 노출 확인","","2026-09-10","passed","2026-09-10","","","",""
"","1672","거래 증빙 서류 신청/조회 확인","","2026-09-10","passed","2026-09-10","","","",""
"","92541","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-09-10","failed","2026-09-10","","","",""
"","2425","배송지 관리 확인","","2026-09-10","passed","2026-09-10","","","",""
"","9501","검색 추천구좌 상품 및 페이지 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","23209","회원 정보 수정 확인","","2026-09-10","passed","2026-09-10","","","",""
"","8044","편성표 > TV/TV+ 탭 > 지금 방송 중 상품 확인","","2026-09-10","passed","2026-09-10","","","",""
"","1864","혜택 관리 확인","","2026-09-10","passed","2026-09-10","","","",""
"","14029","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","17833","최근 본 상품 추천구좌 상품 및 페이지 이동 확인","","2026-09-10","failed","2026-09-10","","","",""
"","17813","기프티쇼 카테고리 및 필터 기능 확인","","2026-09-10","passed","2026-09-10","","","",""
"","12385","카테고리 추천구좌 상품 및 페이지 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","508","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","11733","묶음 배송 추천구좌 상품 및 페이지 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","25666","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-09-10","failed","2026-09-10","","","",""
"","36273","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-09-10","failed","2026-09-10","","","",""
"","1758","연락처 관리 확인","","2026-09-10","passed","2026-09-10","","","",""
"","1740","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-09-10","passed","2026-09-10","","","",""
"","10801","상품 추천구좌 상품 및 페이지 이동 확인","","2026-09-10","passed","2026-09-10","","","",""
"","1873","알파포인트 확인","","2026-09-10","passed","2026-09-10","","","",""
