"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17561","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1547","기프티쇼 선물함 확인","","2026-07-16","passed","2026-07-16","","","",""
"","20019","최근 본 상품 추천구좌 상품 및 페이지 이동 확인","","2026-07-16","failed","2026-07-16","","","",""
"","34834","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-16","passed","2026-07-16","","","",""
"","13531","카테고리 추천구좌 상품 및 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","10143","혜택/이벤트 > 이달의 선물 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","19973","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","9913","혜택/이벤트 > 수신동의 쿠폰팩 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1808","배송지 관리 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1566","최근 본 상품 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1828","방송 알림 설정 확인","","2026-07-16","passed","2026-07-16","","","",""
"","19894","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-16","passed","2026-07-16","","","",""
"","19338","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1682","공지 사항 확인","","2026-07-16","passed","2026-07-16","","","",""
"","12566","묶음 배송 추천구좌 상품 및 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","12245","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1695","혜택 관리 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1662","환불 계좌 관리 확인","","2026-07-16","passed","2026-07-16","","","",""
"","9469","주문 내역 확인","","2026-07-16","passed","2026-07-16","","","",""
"","49376","일반 계정 로그인 확인","","2026-07-16","passed","2026-07-16","","","",""
"","11491","상품 > 구매정보 탭 노출 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1616","자주하는 질문 확인","","2026-07-16","passed","2026-07-16","","","",""
"","19721","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","13413","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-16","passed","2026-07-16","","","",""
"","21010","GNB 메뉴별 화면 확인","","2026-07-16","passed","2026-07-16","","","",""
"","8676","ON AIR > VOD 영상 재생 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1800","알파포인트 확인","","2026-07-16","passed","2026-07-16","","","",""
"","11010","검색 후 상품 상세 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","15004","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","27365","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-16","failed","2026-07-16","","","",""
"","7108","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-16","passed","2026-07-16","","","",""
"","685","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-16","passed","2026-07-16","","","",""
"","13875","카테고리 정상 노출 및 필터 기능 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1645","거래 증빙 서류 신청/조회 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1706","잔액형 상품권 내역 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1641","문의 내역 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1752","좋아요 확인","","2026-07-16","passed","2026-07-16","","","",""
"","23668","상품(선택 후 뒤로가기) 추천구좌 상품 및 페이지 이동 확인","","2026-07-16","failed","2026-07-16","","","",""
"","13471","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1920","이용권등록 확인","","2026-07-16","passed","2026-07-16","","","",""
"","8427","편성표 > TV/TV+ 탭 > 지금 방송 중 상품 확인","","2026-07-16","passed","2026-07-16","","","",""
"","16859","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1556","연락처 관리 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1550","간편 로그인 연결 확인","","2026-07-16","passed","2026-07-16","","","",""
"","27558","상품 > 장바구니 상품 추가 확인","","2026-07-16","failed","2026-07-16","","","",""
"","10712","상품 추천구좌 상품 및 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1585","선물 메시지 관리 확인","","2026-07-16","passed","2026-07-16","","","",""
"","26202","회원 정보 수정 확인","","2026-07-16","passed","2026-07-16","","","",""
"","2313","장바구니 확인","","2026-07-16","passed","2026-07-16","","","",""
"","17811","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-16","passed","2026-07-16","","","",""
"","539","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-16","passed","2026-07-16","","","",""
"","9399","혜택/이벤트 > 멤버십 혜택 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","21530","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-16","passed","2026-07-16","","","",""
"","10623","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-16","passed","2026-07-16","","","",""
"","1363","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-16","passed","2026-07-16","","","",""
"","10596","상품 > 상세정보 탭 노출 확인","","2026-07-16","passed","2026-07-16","","","",""
"","13930","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","11424","상품 > 상품평 탭 노출 확인","","2026-07-16","passed","2026-07-16","","","",""
"","513","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","10395","검색 추천구좌 상품 및 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","14557","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","2724","취소/교환/반품 내역 확인","","2026-07-16","passed","2026-07-16","","","",""
"","6165","장바구니 추천구좌 상품 및 페이지 이동 확인","","2026-07-16","failed","2026-07-16","","","",""
"","1701","1:1 문의하기 확인","","2026-07-16","passed","2026-07-16","","","",""
"","10212","혜택/이벤트 > 신규가입 혜택 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","23480","상품 > 좋아요 추가 및 삭제 확인","","2026-07-16","failed","2026-07-16","","","",""
"","11917","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-16","passed","2026-07-16","","","",""
"","11763","상품 > 상품문의 탭 노출 확인","","2026-07-16","passed","2026-07-16","","","",""
"","2466","상품평 확인","","2026-07-16","passed","2026-07-16","","","",""
