"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1805","간편 로그인 연결 확인","","2026-09-11","passed","2026-09-11","","","",""
"","2362","장바구니 확인","","2026-09-11","passed","2026-09-11","","","",""
"","14134","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-09-11","passed","2026-09-11","","","",""
"","1752","이용권등록 확인","","2026-09-11","passed","2026-09-11","","","",""
"","25190","상품(선택 후 뒤로가기) 추천구좌 상품 및 페이지 이동 확인","","2026-09-11","failed","2026-09-11","","","",""
"","19967","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-09-11","passed","2026-09-11","","","",""
"","30267","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-09-11","failed","2026-09-11","","","",""
"","15542","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-09-11","passed","2026-09-11","","","",""
"","556","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-09-11","passed","2026-09-11","","","",""
"","1831","알파포인트 확인","","2026-09-11","passed","2026-09-11","","","",""
"","9899","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-09-11","passed","2026-09-11","","","",""
"","1857","잔액형 상품권 내역 확인","","2026-09-11","passed","2026-09-11","","","",""
"","25420","상품 > 구매하기 주문서 페이지 이동 확인","","2026-09-11","passed","2026-09-11","","","",""
"","1954","자주하는 질문 확인","","2026-09-11","passed","2026-09-11","","","",""
"","8760","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-09-11","passed","2026-09-11","","","",""
"","14847","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-09-11","passed","2026-09-11","","","",""
"","11292","상품 > 구매정보 탭 노출 확인","","2026-09-11","passed","2026-09-11","","","",""
"","8776","혜택/이벤트 > 신규가입 혜택 페이지 이동 확인","","2026-09-11","passed","2026-09-11","","","",""
"","1755","배송지 관리 확인","","2026-09-11","passed","2026-09-11","","","",""
"","581","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-09-11","passed","2026-09-11","","","",""
"","198","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-09-11","passed","2026-09-11","","","",""
"","1769","환불 계좌 관리 확인","","2026-09-11","passed","2026-09-11","","","",""
