"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18255","기프티쇼 카테고리 및 필터 기능 확인","","2026-08-10","passed","2026-08-10","","","",""
"","17234","상품 > 구매하기 주문서 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","18670","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","105633","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-08-10","failed","2026-08-10","","","",""
"","208","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-08-10","passed","2026-08-10","","","",""
"","1889","연락처 관리 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2198","간편 로그인 연결 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2265","방송 알림 설정 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2583","혜택 관리 확인","","2026-08-10","passed","2026-08-10","","","",""
"","1927","자주하는 질문 확인","","2026-08-10","passed","2026-08-10","","","",""
"","34549","주문 내역 확인","","2026-08-10","failed","2026-08-10","","","",""
"","35227","상품(선택 후 뒤로가기) 추천구좌 상품 및 페이지 이동 확인","","2026-08-10","failed","2026-08-10","","","",""
"","2119","환불 계좌 관리 확인","","2026-08-10","passed","2026-08-10","","","",""
"","1839","기프티쇼 선물함 확인","","2026-08-10","passed","2026-08-10","","","",""
"","37356","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-08-10","failed","2026-08-10","","","",""
"","3037","상품평 확인","","2026-08-10","passed","2026-08-10","","","",""
"","19860","카테고리 추천구좌 상품 및 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","41855","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-08-10","failed","2026-08-10","","","",""
"","15577","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","573","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-08-10","passed","2026-08-10","","","",""
"","19410","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","8452","편성표 > TV/TV+ 탭 > 지금 방송 중 상품 확인","","2026-08-10","passed","2026-08-10","","","",""
"","24993","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","15880","검색 후 상품 상세 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","10879","상품 > 상세정보 탭 노출 확인","","2026-08-10","passed","2026-08-10","","","",""
"","17616","혜택/이벤트 > 신규가입 혜택 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","18325","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-08-10","passed","2026-08-10","","","",""
"","16740","상품 > 상품문의 탭 노출 확인","","2026-08-10","passed","2026-08-10","","","",""
"","1847","문의 내역 확인","","2026-08-10","passed","2026-08-10","","","",""
"","3117","이용권등록 확인","","2026-08-10","passed","2026-08-10","","","",""
"","16862","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2082","공지 사항 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2593","최근 본 상품 확인","","2026-08-10","passed","2026-08-10","","","",""
"","48912","상품 > 장바구니 상품 추가 확인","","2026-08-10","failed","2026-08-10","","","",""
"","17750","상품 추천구좌 상품 및 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","47672","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-08-10","failed","2026-08-10","","","",""
"","17157","상품 > 상품평 탭 노출 확인","","2026-08-10","passed","2026-08-10","","","",""
"","20235","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","17278","검색 추천구좌 상품 및 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","18887","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","3321","취소/교환/반품 내역 확인","","2026-08-10","passed","2026-08-10","","","",""
"","52512","회원 정보 수정 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2601","좋아요 확인","","2026-08-10","passed","2026-08-10","","","",""
"","17237","혜택/이벤트 > 이달의 선물 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","14101","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","6162","장바구니 추천구좌 상품 및 페이지 이동 확인","","2026-08-10","failed","2026-08-10","","","",""
"","14168","혜택/이벤트 > 멤버십 혜택 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","1969","1:1 문의하기 확인","","2026-08-10","passed","2026-08-10","","","",""
"","18191","묶음 배송 추천구좌 상품 및 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","19989","카테고리 정상 노출 및 필터 기능 확인","","2026-08-10","passed","2026-08-10","","","",""
"","1452","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-08-10","passed","2026-08-10","","","",""
"","38871","일반 계정 로그인 확인","","2026-08-10","passed","2026-08-10","","","",""
"","18121","상품 > 선물하기 주문서 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2204","선물 메시지 관리 확인","","2026-08-10","passed","2026-08-10","","","",""
"","14390","혜택/이벤트 > 수신동의 쿠폰팩 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","515","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","45441","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2601","장바구니 확인","","2026-08-10","passed","2026-08-10","","","",""
"","1999","거래 증빙 서류 신청/조회 확인","","2026-08-10","passed","2026-08-10","","","",""
"","29844","GNB 메뉴별 화면 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2094","알파포인트 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2534","잔액형 상품권 내역 확인","","2026-08-10","passed","2026-08-10","","","",""
"","14705","ON AIR > VOD 영상 재생 확인","","2026-08-10","passed","2026-08-10","","","",""
"","13457","최근 본 상품 추천구좌 상품 및 페이지 이동 확인","","2026-08-10","passed","2026-08-10","","","",""
"","16709","상품 > 구매정보 탭 노출 확인","","2026-08-10","passed","2026-08-10","","","",""
"","11782","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-08-10","passed","2026-08-10","","","",""
"","30329","상품 > 좋아요 추가 및 삭제 확인","","2026-08-10","failed","2026-08-10","","","",""
"","26208","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-08-10","passed","2026-08-10","","","",""
"","2555","배송지 관리 확인","","2026-08-10","passed","2026-08-10","","","",""
