"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11497","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","20972","상품 추천구좌 상품 및 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","12943","주문 내역 확인","","2026-07-06","passed","2026-07-06","","","",""
"","20410","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","9671","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-06","passed","2026-07-06","","","",""
"","574","장바구니 추천구좌 상품 및 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","20263","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","626","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1064","문의 내역 확인","","2026-07-06","passed","2026-07-06","","","",""
"","122","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1030","거래 증빙 서류 신청/조회 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1169","기프티쇼 선물함 확인","","2026-07-06","passed","2026-07-06","","","",""
"","14067","검색 추천구좌 상품 및 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1393","방송 알림 설정 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1547","배송지 관리 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1710","좋아요 확인","","2026-07-06","passed","2026-07-06","","","",""
"","22729","혜택/이벤트 > 이달의 선물 페이지 이동 확인","","2026-07-06","failed","2026-07-06","","","",""
"","1130","1:1 문의하기 확인","","2026-07-06","passed","2026-07-06","","","",""
"","48009","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-06","failed","2026-07-06","","","",""
"","25638","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","29525","묶음 배송 추천구좌 상품 및 페이지 이동 확인","","2026-07-06","failed","2026-07-06","","","",""
"","22929","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-06","failed","2026-07-06","","","",""
"","12813","ON AIR > VOD 영상 재생 확인","","2026-07-06","passed","2026-07-06","","","",""
"","20976","GNB 메뉴별 화면 확인","","2026-07-06","passed","2026-07-06","","","",""
"","12107","편성표 > TV/TV+ 탭 > 지금 방송 중 상품 확인","","2026-07-06","passed","2026-07-06","","","",""
"","377","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1028","간편 로그인 연결 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1114","선물 메시지 관리 확인","","2026-07-06","passed","2026-07-06","","","",""
"","10183","카테고리 추천구좌 상품 및 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","47722","일반 계정 로그인 확인","","2026-07-06","passed","2026-07-06","","","",""
"","14607","검색 후 상품 상세 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","7788","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","37002","상품 > 구매정보 탭 노출 확인","","2026-07-06","failed","2026-07-06","","","",""
"","1227","공지 사항 확인","","2026-07-06","passed","2026-07-06","","","",""
"","8870","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1193","연락처 관리 확인","","2026-07-06","passed","2026-07-06","","","",""
"","18589","상품 > 좋아요 추가 및 삭제 확인","","2026-07-06","passed","2026-07-06","","","",""
"","9127","상품 > 상품평 탭 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","47589","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1367","상품평 확인","","2026-07-06","passed","2026-07-06","","","",""
"","12954","혜택/이벤트 > 수신동의 쿠폰팩 페이지 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","15766","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1352","잔액형 상품권 내역 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1397","환불 계좌 관리 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1620","취소/교환/반품 내역 확인","","2026-07-06","passed","2026-07-06","","","",""
"","3963","혜택 관리 확인","","2026-07-06","passed","2026-07-06","","","",""
"","14729","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1204","최근 본 상품 확인","","2026-07-06","passed","2026-07-06","","","",""
"","1040","자주하는 질문 확인","","2026-07-06","passed","2026-07-06","","","",""
