"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15075","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","898","알파포인트 확인","","2026-07-03","passed","2026-07-03","","","",""
"","802","문의 내역 확인","","2026-07-03","passed","2026-07-03","","","",""
"","912","선물 메시지 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","15723","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-03","passed","2026-07-03","","","",""
"","248","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-03","passed","2026-07-03","","","",""
"","1406","좋아요 확인","","2026-07-03","passed","2026-07-03","","","",""
"","860","간편 로그인 연결 확인","","2026-07-03","passed","2026-07-03","","","",""
"","463","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","19020","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","848","연락처 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","18266","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-03","passed","2026-07-03","","","",""
"","8561","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","983","혜택 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","12329","ON AIR > VOD 영상 재생 확인","","2026-07-03","passed","2026-07-03","","","",""
"","15003","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","14733","검색 후 상품 상세 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","41287","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-03","passed","2026-07-03","","","",""
"","15631","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","45161","일반 계정 로그인 확인","","2026-07-03","passed","2026-07-03","","","",""
"","931","방송 알림 설정 확인","","2026-07-03","passed","2026-07-03","","","",""
"","869","이용권등록 확인","","2026-07-03","passed","2026-07-03","","","",""
"","82093","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-03","failed","2026-07-03","","","",""
"","1132","배송지 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","870","자주하는 질문 확인","","2026-07-03","passed","2026-07-03","","","",""
"","939","잔액형 상품권 내역 확인","","2026-07-03","passed","2026-07-03","","","",""
"","7503","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","13133","상품 > 상품평 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","22084","회원 정보 수정 확인","","2026-07-03","passed","2026-07-03","","","",""
"","17964","카테고리 정상 노출 및 필터 기능 확인","","2026-07-03","passed","2026-07-03","","","",""
"","882","환불 계좌 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","13602","상품 > 상품문의 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","14028","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","9513","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","801","1:1 문의하기 확인","","2026-07-03","passed","2026-07-03","","","",""
"","21682","상품 > 좋아요 추가 및 삭제 확인","","2026-07-03","passed","2026-07-03","","","",""
"","14675","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-03","passed","2026-07-03","","","",""
"","2153","상품평 확인","","2026-07-03","passed","2026-07-03","","","",""
"","769","장바구니 확인","","2026-07-03","passed","2026-07-03","","","",""
"","20519","상품 > 장바구니 상품 추가 확인","","2026-07-03","failed","2026-07-03","","","",""
"","899","공지 사항 확인","","2026-07-03","passed","2026-07-03","","","",""
"","13614","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","11363","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","1078","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-03","passed","2026-07-03","","","",""
"","12311","주문 내역 확인","","2026-07-03","passed","2026-07-03","","","",""
"","18673","GNB 메뉴별 화면 확인","","2026-07-03","passed","2026-07-03","","","",""
"","919","최근 본 상품 확인","","2026-07-03","passed","2026-07-03","","","",""
"","85880","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-03","failed","2026-07-03","","","",""
"","7915","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","32818","상품 > 상세정보 탭 노출 확인","","2026-07-03","failed","2026-07-03","","","",""
"","289","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-03","passed","2026-07-03","","","",""
"","894","기프티쇼 선물함 확인","","2026-07-03","passed","2026-07-03","","","",""
"","1431","취소/교환/반품 내역 확인","","2026-07-03","passed","2026-07-03","","","",""
"","16133","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-03","passed","2026-07-03","","","",""
"","6263","상품 > 구매정보 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","19773","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-03","passed","2026-07-03","","","",""
"","889","거래 증빙 서류 신청/조회 확인","","2026-07-03","passed","2026-07-03","","","",""
