"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8754","검색 후 상품 상세 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","12119","ON AIR > VOD 영상 재생 확인","","2026-07-03","passed","2026-07-03","","","",""
"","1048","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-03","passed","2026-07-03","","","",""
"","2182","배송지 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","18840","GNB 메뉴별 화면 확인","","2026-07-03","passed","2026-07-03","","","",""
"","19046","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","17613","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","937","상품평 확인","","2026-07-03","passed","2026-07-03","","","",""
"","876","연락처 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","13225","상품 > 상세정보 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","332","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-03","passed","2026-07-03","","","",""
"","46292","일반 계정 로그인 확인","","2026-07-03","passed","2026-07-03","","","",""
"","13142","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-03","passed","2026-07-03","","","",""
"","26231","상품 > 장바구니 상품 추가 확인","","2026-07-03","failed","2026-07-03","","","",""
"","10172","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","17802","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","1451","장바구니 확인","","2026-07-03","passed","2026-07-03","","","",""
"","13159","상품 > 구매정보 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","938","좋아요 확인","","2026-07-03","passed","2026-07-03","","","",""
"","16733","상품 > 좋아요 추가 및 삭제 확인","","2026-07-03","passed","2026-07-03","","","",""
"","817","환불 계좌 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","264","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-03","passed","2026-07-03","","","",""
"","29367","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","1390","취소/교환/반품 내역 확인","","2026-07-03","passed","2026-07-03","","","",""
"","822","잔액형 상품권 내역 확인","","2026-07-03","passed","2026-07-03","","","",""
"","24309","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-03","passed","2026-07-03","","","",""
"","898","간편 로그인 연결 확인","","2026-07-03","passed","2026-07-03","","","",""
"","935","방송 알림 설정 확인","","2026-07-03","passed","2026-07-03","","","",""
"","17311","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-03","passed","2026-07-03","","","",""
"","828","문의 내역 확인","","2026-07-03","passed","2026-07-03","","","",""
"","12864","상품 > 상품평 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","22366","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","22143","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","17605","카테고리 정상 노출 및 필터 기능 확인","","2026-07-03","passed","2026-07-03","","","",""
"","15402","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-03","passed","2026-07-03","","","",""
"","917","알파포인트 확인","","2026-07-03","passed","2026-07-03","","","",""
"","41427","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-03","passed","2026-07-03","","","",""
"","13593","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","21954","회원 정보 수정 확인","","2026-07-03","passed","2026-07-03","","","",""
"","836","이용권등록 확인","","2026-07-03","passed","2026-07-03","","","",""
"","11337","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","15180","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","822","선물 메시지 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","13311","상품 > 상품문의 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","863","1:1 문의하기 확인","","2026-07-03","passed","2026-07-03","","","",""
"","868","자주하는 질문 확인","","2026-07-03","passed","2026-07-03","","","",""
"","855","최근 본 상품 확인","","2026-07-03","passed","2026-07-03","","","",""
"","19827","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-03","passed","2026-07-03","","","",""
"","827","거래 증빙 서류 신청/조회 확인","","2026-07-03","passed","2026-07-03","","","",""
"","490","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","915","공지 사항 확인","","2026-07-03","passed","2026-07-03","","","",""
"","830","기프티쇼 선물함 확인","","2026-07-03","passed","2026-07-03","","","",""
"","11118","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
"","12149","주문 내역 확인","","2026-07-03","passed","2026-07-03","","","",""
"","22289","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-03","passed","2026-07-03","","","",""
"","1023","혜택 관리 확인","","2026-07-03","passed","2026-07-03","","","",""
"","7799","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-03","passed","2026-07-03","","","",""
